ID,Date,Premisestype,Location,Urbanity,Locationlat,Locationlong,Currency,Binsnumber,Binssizematerial,Collected,Collectionavailable,Collectioninfo,Collectioninfochannel,Collectioninfochannelinterp,Collectionperiod,Accumulationtimenum,Collectionperiodother,Collectionrating,Collectionratingreason,Collectionwastelevelwhenta,Collectionrubbishbagsupport,Collectionrubbishbagwilling,Bownbowcollectionopinion,Collectionsuggestions,Collectionwillingtopay,Wastedisposalbulky,Wastedisposalbulkyother,Wastedisposalgeneral,Wastedisposalgeneralother,Wastedisposalgreen,Wastedisposalgreenother,Wastedisposalnappies,Wastedisposalnappiesother,Dietfood_0,Dietfrequency_0,Dietsource_0,Dietfood_1,Dietfrequency_1,Dietsource_1,Dietfood_2,Dietfrequency_2,Dietsource_2,Groceryexpenses,Groceryperiod,Groceryperiodnum,Groceryperiodother,Grocerytotal,Housenumberpeople,Housenumberchildren,Housenumberpeopleincome,Houseownership,Whatsourcesofincomedoesthispersonhave_0,Incomeamount_0,Incomeperiod_0,Incomeperiodnum_0,Incomeperiodother_0,Whatsourcesofincomedoesthispersonhave_1,Incomeamount_1,Incomeperiod_1,Incomeperiodnum_1,Incomeperiodother_1,Whatsourcesofincomedoesthispersonhave_2,Incomeamount_2,Incomeperiod_2,Incomeperiodnum_2,Incomeperiodother_2,Whatsourcesofincomedoesthispersonhave_3,Incomeamount_3,Incomeperiod_3,Incomeperiodnum_3,Whatsourcesofincomedoesthispersonhave_4,Incomeamount_4,Incomeperiod_4,Incomeperiodnum_4,Whatsourcesofincomedoesthispersonhave_5,Incomeamount_5,Incomeperiod_5,Incomeperiodnum_5,Incometotal,Levysupport,Electricityexpensesperiod,Mobilephone,Softdrinkcans,Transportationexpensesperiod,Waterbottlespweek,Totalcontainers,Cigarettebutts,Cigarettepackets,Straws,Coffeecups,Bagsglossy,Bagssupermarket,Takeawayconts,Takeawaylids
42,03/06/2019,pt_household,Belmopan,Urban,17.24285,-88.767047,bzd,0,,,yes,no,,,p_3days,3.50000000000000,,5,Timely collection.,full,yes,5.00000000000000,yes,More advertisements about garbage collection.,50,disp_collect,,disp_collect,,disp_collect,,disp_collect,,Beans,df_every_day,diet_buy,Chicken,df_most_days,diet_buy,Flour,df_every_day,diet_buy,150,p_week,7,,642.85714290000000,1,3,0,rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,120,yes,0,50 per month,1 gallon,0,0,0,5,0,0,11,5,0
44,03/06/2019,pt_household,Belmopan,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,0,0,7,3,0
41,03/06/2019,pt_household,Belmopan,Urban,17.244606,-88.768488,bzd,0,,,yes,no,,,p_3days,3.50000000000000,,4,Regular,half_full,yes,1.00000000000000,yes,None,10,disp_collect,,disp_collect,,disp_collect,,disp_collect,,Rice,df_some_days,diet_buy,Beans,df_some_days,diet_buy,Can foods,df_some_days,diet_buy,200,p_fortnight,14,,428.57142860000000,2,1,2,rent,Teacher,0,p_month,30,,Nurse,0,p_fortnight,14,,,,,,,,,,,,,,,,,,,0.00000000000000,yes,150,yes,0,50,1 5 gallon,4,0,0,0,0,0,4,1,0
115,05/06/2019,pt_household,Dangriga,Regional,,,,,,0.75000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,0,0,8,2,0
43,03/06/2019,pt_household,Belmopan,Urban,17.242805,-88.767261,bzd,0,,,yes,no,,,p_3days,3.50000000000000,,4,Garbage collection should be scheduled on a Saturday to reduce waste on weekends. Also the city council could provide bins or a cage for garbage.,full,no,,yes,Implement a recycling system. Conduct education campaign in all schools and give gifts to inventivize children to do a project around plastics.  Make umbrellas and tables and rubber boots out of plastics. Make garbage facts relatable to Belize for educational campaign and do cleanup campaigns more often and give them a prize.,0,other,Give it to a repair place for parts,disp_collect,,disp_collect,,other,None,Vegetables,df_most_days,diet_buy,Fruits,df_most_days,diet_buy,Rice,df_most_days,diet_buy,,p_fortnight,14,,,1,1,1,rent,Self employed (Babysits),0,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,yes,0,,,3,0,0,0,0,0,9,3,0
45,03/06/2019,pt_household,Belmopan,Urban,17.242782,-88.767635,bzd,2,,,yes,no,,,p_3days,3.50000000000000,,5,Impressive collection and timely service,half_full,no,,yes,A feasible way to dispose of bulky garbage.,12,disp_land_dump,,disp_collect,,disp_land_dump,,other,None,Rice,df_most_days,diet_buy,Flour,df_every_day,diet_buy,Corn,df_some_days,diet_buy,35,p_2days,2,,525.00000000000000,1,0,1,own,Laundry Service,700,p_month,30,,,,,,,,,,,,,,,,,,,,,,,,700.00000000000000,yes,50,yes,0,0,2 5 gallons,1,0,0,0,0,0,12,0,0
47,03/06/2019,pt_household,Belmopan,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,0,0,0,0,9,0
49,03/06/2019,pt_household,Belmopan,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0,0,0,4,6,0
51,03/06/2019,pt_household,Belmopan,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,3,0,0,22,0,1
53,03/06/2019,pt_household,Belmopan,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,24,9,0
55,03/06/2019,pt_household,Belmopan,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,1,0,0,11,0,0
57,03/06/2019,pt_household,Belmopan,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,0,0,9,3,0
59,03/06/2019,pt_household,Belmopan,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,0,1,0,0,9,5,0
46,03/06/2019,pt_household,Belmopan,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,5,0,0
48,03/06/2019,pt_household,Belmopan,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,11,7,0
50,03/06/2019,pt_household,Belmopan,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,12,4,0
52,03/06/2019,pt_household,Belmopan,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,3,1,0
54,03/06/2019,pt_household,Belmopan,Urban,17.238922,-88.777089,bzd,1,80L,,yes,yes,Council,council,p_3days,3.50000000000000,,5,,half_full,no,0.00000000000000,yes,Anything not in bags not carried,5,other,None,disp_collect,,disp_land_dump,,other,None,Rice n beans,df_most_days,diet_buy,Pasta,df_some_days,diet_buy,Soup,df_some_days,diet_buy,0,p_month,30,,0.00000000000000,2,1,1,own,Secretary,0,p_month,30,,,,,,,,,,,,,,,,,,,,,,,,0.00000000000000,yes,100,yes,0,75,2 5 gallons,1,0,0,0,0,0,4,7,0
56,03/06/2019,pt_household,Belmopan,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,6,4,0
58,03/06/2019,pt_household,Belmopan,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,0,0,0,0,11,9,0
60,03/06/2019,pt_household,Belmopan,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0,0,0,12,6,0
92,04/06/2019,pt_household,Dangriga,Regional,16.966114,-88.220685,bzd,0,,1.00000000000000,yes,no,,,p_week,7.00000000000000,,4,Could improve,half_full,yes,0.00000000000000,yes,More trucks,0,other,Truck,disp_collect,,disp_collect,,other,None,Rice,df_some_days,diet_buy,Rice,df_some_days,diet_buy,Chicken,df_most_days,diet_buy,300,p_month,30,,300.00000000000000,2,0,1,own,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,100,yes,0,20,15,0,0,0,0,0,0,4,0,0
94,04/06/2019,pt_household,Dangriga,Regional,,,,,,1.00000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,5,4,0
96,04/06/2019,pt_household,Dangriga,Regional,16.967476,-88.24213,bzd,1,40L,0.50000000000000,yes,yes,Council,council,p_3days,3.50000000000000,,4,Timely,full,no,0.00000000000000,yes,None,0,disp_land_dump,,disp_collect,,disp_land_dump,,disp_collect,,Rice,df_every_day,diet_buy,Chicken,df_most_days,diet_buy,Corn flakes,df_every_day,diet_buy,300,p_month,30,,300.00000000000000,2,2,1,own,Police,1500,p_fortnight,14,,,,,,,,,,,,,,,,,,,,,,,,3214.28571400000000,yes,60,yes,0,50,2 5gallons,4,0,0,2,0,0,0,0,0
98,04/06/2019,pt_household,Dangriga,Regional,,,,,,1.00000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,0,0,0,0,13,7,0
100,04/06/2019,pt_household,Dangriga,Regional,17.247133,-88.77541,bzd,1,80L plastic,0.75000000000000,yes,no,,,p_2days,2.00000000000000,,5,Garbage collected on time.,full,no,0.00000000000000,yes,Provide workers with masks and protective gear.,5,disp_collect,,disp_collect,,disp_collect,,disp_collect,,Rice,df_some_days,diet_buy,Flour,df_some_days,diet_buy,Pork,df_some_days,diet_buy,250,p_fortnight,14,,535.71428570000000,2,1,1,rent,Prison officer,0,p_fortnight,14,,,,,,,,,,,,,,,,,,,,,,,,0.00000000000000,yes,40,yes,0,30 per week,0,2,0,0,0,0,0,4,0,0
102,04/06/2019,pt_household,Dangriga,Regional,16.959513,-88.221742,bzd,1,80 L Rubber bin,0.20000000000000,yes,no,,,p_2days,2.00000000000000,,5,Picks up garbage on time,full,yes,0.50000000000000,yes,Suggest to come earlier and more often especially during holidays,0,other,Give to a technician for spare parts,disp_collect,,disp_collect,,disp_collect,,Chicken,df_every_day,diet_buy,Beans,df_some_days,diet_buy,Fish,df_some_days,diet_buy,500,p_month,30,,500.00000000000000,7,4,3,own,Contractor for BEL,0,,,,Belize Defense Force Officer,0,,,,Belize Defense Officer,0,,,,,,,,,,,,,,,,,yes,150 per month,yes,0,150 per month,0 as drink from tap,1,0,0,1,0,0,17,5,0
104,04/06/2019,pt_household,Dangriga,Regional,,,,,,1.00000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,1,2,0
106,04/06/2019,pt_household,Dangriga,Regional,16.96198,-88.220175,bzd,1,80L,0.50000000000000,yes,no,,,p_week,7.00000000000000,,4,Come regularly,half_full,yes,1.00000000000000,yes,Need more truck,0,other,Truck,disp_collect,,disp_collect,,other,None,Flour,df_some_days,diet_buy,Beans,df_some_days,diet_buy,Cocoa,df_some_days,diet_buy,100,p_month,30,,100.00000000000000,2,0,0,own,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,0,no,0,0,15,0,0,0,0,0,0,1,0,0
108,04/06/2019,pt_household,Dangriga,Regional,,,,,,0.25000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,0,0,0,0,4,5,0
110,04/06/2019,pt_household,Dangriga,Regional,,,,,,1.00000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,13,2,0
112,04/06/2019,pt_household,Dangriga,Regional,,,,,,0.50000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,4,1,0
114,04/06/2019,pt_household,Dangriga,Regional,,,,,,0.75000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,6,2,0
116,04/06/2019,pt_household,Dangriga,Regional,,,,,,0.50000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,4,0,0
118,04/06/2019,pt_household,Dangriga,Regional,16.967476,-88.24213,bzd,1,80L,0.50000000000000,yes,no,,,p_3days,3.50000000000000,,4,Timely,half_full,yes,2.00000000000000,yes,None,5,other,Truck,disp_collect,,other,Compost,other,None,Rice,df_some_days,diet_buy,Beans,df_some_days,diet_buy,Fish,df_some_days,diet_buy,0,p_month,30,,0.00000000000000,2,2,1,own,Agriclture officer,0,other,,15 and end of month,,,,,,,,,,,,,,,,,,,,,,,,yes,100,yes,0,50,3 5gallons,1,0,0,0,0,0,7,0,0
120,04/06/2019,pt_household,Dangriga,Regional,,,,,,0.25000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,13,0,0
91,04/06/2019,pt_household,Dangriga,Regional,,,,,,0.20000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,0,6,3,0
93,04/06/2019,pt_household,Dangriga,Regional,,,,,,0.50000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,0,0,9,12,8
95,04/06/2019,pt_household,Dangriga,Regional,,,,,,0.50000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,6,0,0
97,04/06/2019,pt_household,Dangriga,Regional,16.970616,-88.221408,bzd,1,80L plas,1.00000000000000,yes,no,,,p_3days,3.50000000000000,,5,Garbage collected on time.,full,no,0.00000000000000,yes,Collect garbage more often.,0,disp_collect,,disp_collect,,other,Used on farm as fertilizer,disp_collect,,Rice,df_most_days,diet_buy,Beans,df_most_days,diet_buy,Chicken,df_most_days,diet_buy,200,p_fortnight,14,,428.57142860000000,2,4,1,rent,Orange factory,0,p_week,7,,,,,,,,,,,,,,,,,,,,,,,,0.00000000000000,yes,55,no,5,15,0,2,0,0,1,0,0,2,1,0
99,04/06/2019,pt_household,Dangriga,Regional,16.959483,-88.222175,bzd,1,80L,0.50000000000000,yes,yes,Town council employees,enquiring in person,p_week,7.00000000000000,,5,Regular pick up to time,overflowing,yes,1.00000000000000,yes,None,0,other,Garbage truck,disp_collect,,disp_collect,,other,None,Rice n beans,df_some_days,diet_buy,Hudut,df_some_days,diet_buy,Flour,df_most_days,diet_buy,50,p_week,7,,214.28571430000000,2,2,0,own,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,90,no,0,0,7 gallons,0,0,0,0,0,0,5,0,0
101,04/06/2019,pt_household,Dangriga,Regional,,,,,,0.75000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0,0,0,7,8,0
103,04/06/2019,pt_household,Dangriga,Regional,16.959513,-88.221742,bzd,0,,,yes,no,,,p_3days,3.50000000000000,,5,Picks up garbage and ensures is clean,half_full,no,0.00000000000000,yes,None,0,disp_collect,,disp_collect,,disp_collect,,other,,Rice,df_most_days,diet_buy,Chicken,df_most_days,diet_buy,Fish,df_most_days,diet_buy,35,p_1day,1,,1050.00000000000000,2,0,1,own,Survey Land,0,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,yes,0,40 per month,0 as drinks from tap,1,0,0,1,0,0,10,3,0
105,04/06/2019,pt_household,Dangriga,Regional,,,,,,0.75000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,8,4,0
107,04/06/2019,pt_household,Dangriga,Regional,16.959709,-88.221105,bzd,1,20L,1.00000000000000,yes,no,,,p_week,7.00000000000000,,4,Room for improvement,full,yes,1.00000000000000,yes,More trucks,0,disp_collect,,disp_collect,,disp_land_dump,,other,None,Flour,df_every_day,diet_buy,Rice,df_some_days,diet_buy,Fish,df_some_days,diet_buy,60,p_week,7,,257.14285710000000,2,1,1,own,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,50,yes,0,20,14,0,0,0,2,0,0,12,6,4
109,04/06/2019,pt_household,Dangriga,Regional,17.247133,-88.77541,bzd,2,40L,1.00000000000000,yes,no,,,p_3days,3.50000000000000,,3,Do not always collect on time.,full,no,0.00000000000000,yes,,10,disp_collect,,disp_collect,,disp_land_dump,,disp_collect,,Rice,df_some_days,diet_buy,Cassava,df_some_days,diet_buy,,,,145,p_fortnight,14,,310.71428570000000,3,3,1,own,Manager,0,p_fortnight,14,,,,,,,,,,,,,,,,,,,,,,,,0.00000000000000,yes,60 per month,no,0,0,15,5,0,0,0,0,0,22,4,0
111,04/06/2019,pt_household,Dangriga,Regional,,,,,,0.50000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,5,4,0
113,04/06/2019,pt_household,Dangriga,Regional,,,,,,0.50000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0,0,0,13,1,0
117,04/06/2019,pt_household,Dangriga,Regional,16.961653,-88.222588,bzd,1,80 L plastic bin,0.50000000000000,yes,yes,The garbageman mentioned it,collection worker,p_3days,3.50000000000000,,5,They ensure that the garbage is always picked up,full,yes,208.00000000000000,yes,The garbage men should be treated better. They arecoverworked and abused. Drains are clogged with grass and garbage.,12,disp_collect,,disp_collect,,disp_collect,,disp_collect,,Rice,df_every_day,diet_buy,Coco,df_every_day,diet_buy,Plantain,df_most_days,diet_buy,0,p_fortnight,14,,0.00000000000000,2,5,2,own,Foot care and Counseling,200,p_month,30,,Business Owner at Security Firm,,,,,,,,,,,,,,,,,,,,,,200.00000000000000,no,190,no,0,0,Unsure,1,0,0,0,0,0,7,2,0
139,06/06/2019,pt_household,Belize City,Urban,,,,,,0.33333333300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,12,2,0
135,06/06/2019,pt_household,Belize City,Urban,17.506566,-88.192756,bzd,1,40L,0.50000000000000,yes,yes,City council,council,p_3days,3.50000000000000,,5,Prompt,half_full,yes,1.00000000000000,yes,None,0,disp_collect,,disp_collect,,other,Dog,other,,Rice n beans,df_some_days,diet_buy,Soup,df_some_days,diet_buy,Fish,df_some_days,diet_buy,0,other,,,,4,0,2,own,Bowen,0,other,,Dont know,Ready call,0,other,,,,,,,,,,,,,,,,,,,,,yes,200,no,0,25,5gallon,5,0,0,0,0,0,6,0,0
140,06/06/2019,pt_household,Belize City,Urban,,,bzd,1,80L,0.70000000000000,yes,no,,,p_3days,3.50000000000000,,4,Timely,full,yes,1.00000000000000,yes,None,0,other,,disp_collect,,other,Pet,other,None,Rice,df_some_days,diet_buy,Flour,df_some_days,diet_buy,Beans,df_some_days,diet_buy,200,p_week,7,,857.14285710000000,4,0,2,rent,,0,other,,,,0,other,,,,,,,,,,,,,,,,,,,,,yes,10p,yes,0,50,5gallon,14,0,0,1,1,0,11,3,0
136,06/06/2019,pt_household,Belize City,Urban,,,,,,0.25000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,0,4,1,0
132,06/06/2019,pt_household,Belize City,Urban,,,,,,1.00000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,5,0,0
